perfume_id,color_score,season_score,myscore,user_style,user_id
1124,57.70600810270163,39.91936288696832,97.62537098966996,스포티,1
683,68.31284379664531,29.166661805556366,97.47950560220167,스포티,1
389,70.93356542565739,26.47057698962103,97.40414241527841,스포티,1
1161,61.94405057775726,35.27358012376089,97.21763070151815,스포티,1
343,57.350103016834694,39.75902848018728,97.10913149702198,스포티,1
1458,64.01967017511765,33.03834496393204,97.0580151390497,스포티,1
549,65.11948959077874,31.932764133888767,97.05225372466751,스포티,1
675,80.34841480394844,16.666657613168272,97.01507241711671,스포티,1
1280,59.16100322525537,37.84530928161631,97.00631250687168,스포티,1
857,58.39150388911527,38.59649258233308,96.98799647144835,스포티,1
1408,62.0338279629552,34.93975861518363,96.97358657813882,스포티,1
243,76.00138839506542,20.901990886176144,96.90337928124157,스포티,1
91,55.5296941830964,41.34519058272325,96.87488476581964,스포티,1
